t,i,j,k,v,q
2020,380,784,330210,394.805,28.403
2020,380,784,711319,548351.981,19.64
2020,380,818,280920,21.362,11.1
2020,380,818,300490,9532.36,114.727
2020,380,818,330210,137.408,6.221
2020,380,818,711319,5307.262,0.112
2020,400,276,300490,201.265,6.899
2020,400,276,330210,25.809,0.434
2020,400,276,711319,303.152,0.015
2020,400,634,280920,93.227,
2020,400,634,300490,13337.893,251.147
2020,400,634,330210,23.534,1.35
2020,400,634,711319,22.349,0.001
2020,400,682,280920,8690.65,8912.533
2020,400,682,300490,82289.752,
2020,400,682,330210,2064.543,118.396
2020,400,682,711319,1670.441,0.034
2020,400,784,280920,23.574,28.148
2020,400,784,300490,43353.232,473.468
2020,400,784,330210,40.071,2.308
2020,400,784,711319,2284.978,0.081
2020,400,818,280920,9877.099,10129.275
2020,400,818,300490,7795.468,86.178
2020,400,818,711319,341.39,0.007
2020,422,276,300490,309.26,0.125
2020,422,276,330210,2.254,3.436
2020,422,276,711319,290.158,0.003
2020,422,400,300490,2512.287,49.994
2020,422,400,711319,4627.365,0.099
2020,422,634,300490,993.295,14.18
2020,422,634,711319,1779.967,0.034
2020,422,682,300490,6895.715,20.411
2020,422,682,711319,4725.075,
2020,422,784,300490,10796.58,129.805
2020,422,784,330210,8.231,7.006
2020,422,784,711319,85247.22,2.6
2020,422,818,330210,38.263,1.08
2020,422,818,711319,794.926,0.019
2020,682,276,300490,3.58,0.053
2020,682,276,711319,4.984,
2020,682,400,300490,13136.497,88.448
2020,682,400,711319,404.88,0.009
2020,682,784,300490,63475.817,2914.06
2020,682,784,711319,27341.922,0.839
2020,784,276,300490,89.479,0.674
2020,784,276,330210,432.652,2.895
2020,784,276,711319,6908.605,0.184
2020,784,400,300490,3746.939,116.318
2020,784,400,330210,1289.712,604.547
2020,784,400,711319,49662.372,1.172
2020,784,634,711319,11.023,0.001
2020,784,682,280920,7.156,1.011
2020,784,682,300490,36368.7,506.8
2020,784,682,310311,1.006,0.264
2020,784,682,330210,13721.892,295.343
2020,784,682,711319,332348.579,13.852
2020,784,818,280920,110.51,26.858
2020,784,818,300490,21050.575,106.462
2020,784,818,330210,1203.062,13.931
2020,784,818,711319,25978.222,0.558
2020,792,276,300490,28386.614,712.406
2020,792,276,330210,1134.728,191.702
2020,792,276,711319,440730.039,9.264
2020,792,400,300490,3991.637,471.196
2020,792,400,330210,2426.18,183.722
2020,792,400,711319,10299.69,0.25
2020,792,634,300490,4966.728,204.367
2020,792,634,330210,41.775,7.72
2020,792,634,711319,7587.156,0.209
2020,792,682,300490,2419.89,100.373
2020,792,682,330210,2444.426,318.144
2020,792,682,711319,13677.265,0.257
2020,792,784,300490,20669.813,1292.872
2020,792,784,330210,2675.802,254.722
2020,792,784,711319,530532.576,13.204
2020,792,818,280920,6.564,3.14
2020,792,818,300490,7014.006,184.721
2020,792,818,330210,1820.682,174.645
2020,792,818,711319,72842.503,1.646
2020,818,276,300490,857.824,557.752
2020,818,276,330210,12.349,2.252
2020,818,276,711319,5.251,
2020,818,400,300490,3581.675,24.115
2020,818,400,310311,23.999,83.717
2020,818,400,330210,4772.919,268.367
2020,818,400,711319,16.263,
2020,818,784,300490,7570.371,479.616
2020,818,784,310311,144.383,814.16
2020,818,784,330210,1555.152,314.555
2020,818,784,711319,14805.085,0.381
2021,300,276,300490,328954.0,8500.461
2021,300,276,330210,10.201,0.164
2021,300,276,711319,595.539,0.045
2021,300,400,300490,8924.161,2817.067
2021,300,400,330210,7.812,0.577
2021,300,634,300490,1138.897,20.782
2021,300,634,711319,165.516,0.005
2021,300,682,300490,6182.59,96.959
2021,300,682,330210,242.268,8.4
2021,300,682,711319,147.483,0.013
2021,300,784,300490,17217.911,359.166
2021,300,784,711319,739.575,0.02
2021,300,818,300490,1234.822,56.677
2021,300,818,330210,65.424,3.0
2021,380,276,280920,2193.187,1148.505
2021,380,276,300490,1905907.762,20640.362
2021,380,276,330210,8831.301,1147.17
2021,380,276,711319,165278.565,9.939
2021,380,400,300490,34343.913,641.169
2021,380,400,330210,43.771,1.65
2021,380,400,711319,62517.555,1.235
2021,380,634,280920,4.064,0.416
2021,380,634,300490,16283.782,253.747
2021,380,634,330210,14.587,0.3
2021,380,634,711319,39843.117,3.126
2021,380,682,300490,133354.884,2573.076
2021,380,682,330210,564.87,32.173
2021,380,682,711319,24987.685,0.612
2021,380,784,300490,172505.088,2383.042
2021,380,784,330210,977.975,65.476
2021,380,784,711319,1141073.486,36.84
2021,380,818,280920,25.022,19.176
2021,380,818,300490,12998.622,149.896
2021,380,818,330210,353.13,10.883
2021,380,818,711319,14672.558,0.301
2021,400,276,300490,194.209,5.27
2021,400,276,330210,15.918,0.644
2021,400,276,711319,425.05,0.018
2021,400,634,280920,40.432,37.329
2021,400,634,300490,14130.231,260.622
2021,400,634,330210,20.914,1.313
2021,400,682,280920,11129.67,14355.267
2021,400,682,300490,73846.695,1156.457
2021,400,682,310311,97.785,144.6
2021,400,682,330210,488.578,11.884
2021,400,682,711319,1395.383,0.022
2021,400,784,280920,132.919,138.637
2021,400,784,300490,42610.267,358.619
2021,400,784,330210,149.024,7.225
2021,400,784,711319,8510.025,0.209
2021,400,818,280920,9296.171,8582.688
2021,400,818,300490,8699.782,
2021,400,818,711319,168.332,0.004
2021,422,276,300490,174.765,0.181
2021,422,276,330210,5.548,2.686
2021,422,276,711319,78.85,0.001
2021,422,400,300490,2947.984,46.682
2021,422,400,330210,5.018,0.28
2021,422,400,711319,14350.777,0.358
2021,422,634,300490,1291.265,13.832
2021,422,634,330210,7.006,1.173
2021,422,634,711319,2649.15,0.07
2021,422,682,300490,1753.148,11.129
2021,422,682,330210,4.386,2.385
2021,422,682,711319,7250.839,0.066
2021,422,784,300490,11757.733,233.651
2021,422,784,330210,0.576,0.127
2021,422,784,711319,121081.547,1.982
2021,422,818,300490,995.737,15.234
2021,422,818,711319,2064.321,0.044
2021,682,276,300490,2.735,0.045
2021,682,276,711319,4.557,
2021,682,400,280920,23.519,27.329
2021,682,400,300490,10444.043,1208.877
2021,682,400,711319,461.3,0.012
2021,682,634,300490,17.298,0.03
2021,682,634,711319,1721.326,0.013
2021,682,784,280920,31.111,7.836
2021,682,784,300490,92145.062,2716.532
2021,682,784,330210,7.535,0.743
2021,682,784,711319,32258.499,0.973
2021,682,818,300490,30595.236,818.108
2021,682,818,711319,2.731,0.002
2021,784,276,300490,30.412,0.27
2021,784,276,330210,381.39,2.048
2021,784,276,711319,11973.694,0.279
2021,784,400,300490,51726.76,1175.86
2021,784,400,330210,133.565,58.926
2021,784,400,711319,217315.091,6.491
2021,784,634,280920,19.826,7.781
2021,784,634,300490,21410.248,292.149
2021,784,634,330210,4.66,0.09
2021,784,634,711319,238055.764,9.939
2021,784,682,280920,284.635,174.805
2021,784,682,300490,84614.87,1500.585
2021,784,682,310311,1.068,0.265
2021,784,682,330210,11012.548,190.563
2021,784,682,711319,573865.978,14.368
2021,784,818,280920,124.918,53.784
